# LinearA, AngularV, Angle
-0.029100,-0.112800,-0.000728
-0.031000,-0.120500,-0.001607
-0.037100,-0.144600,-0.001928
-0.241500,-0.178200,-0.000305
-0.043300,-0.178300,-0.002377
-0.032200,-0.136900,-0.000527
-0.030900,-0.135900,-0.000591
-0.032200,-0.143500,-0.001794
-0.038800,-0.183900,-0.002299
-0.040900,-0.191500,-0.001596
-0.041000,-0.191400,-0.005469
-0.023500,-0.111700,-0.001396
-0.027700,-0.135900,-0.000824
-0.029600,-0.143600,-0.004103
-0.032900,-0.160000,-0.004571
-0.035300,-0.198800,-0.000530
-0.021500,-0.173400,-0.001445
-0.028300,-0.173500,-0.002479
-0.023600,-0.163300,-0.000640
-0.015100,-0.136800,-0.000271
-0.013300,-0.128100,-0.001220
-0.012600,-0.128100,-0.001507
-0.011500,-0.119400,-0.002985
-0.011400,-0.127000,-0.001104
