# LinearA, AngularV
-0.193600,1.532000
0.455900,1.793400
0.491000,1.779100
0.305000,1.555200
0.195200,1.479200
0.245100,1.183600
0.591700,0.959500
-0.335200,1.155100
-0.503200,0.891200
0.003500,0.267300
-0.003800,0.028500
0.030300,-0.316800
-0.727000,-0.749300
0.035700,-0.578000
0.646800,-0.645600
0.626100,-0.712900
0.014400,-0.540500
0.540900,-0.747600
0.411000,0.038300
0.311000,-0.160200
0.177200,-0.361600
-0.094500,-0.545800
-0.162600,-0.545800
-0.051600,-0.397400
-0.047900,-0.378300
-0.040500,-0.342800
-0.044800,-0.359600
0.238700,-0.104800
-0.008000,-0.073900
-0.007000,-0.065200
-0.012100,-0.122300
-0.012700,-0.122200
0.002500,0.024800
-0.020500,-0.220000
-0.018100,-0.194500
-0.002400,-0.027600
-0.006800,-0.103900
-0.006000,-0.074100
0.002700,0.032200
-0.013100,-0.172400
0.261200,0.019200
0.001400,0.024600
0.005000,0.050100
0.496100,0.018000
-0.019200,-0.098500
-0.009700,-0.016500
-0.001200,-0.016300
-0.016100,-0.335200
-0.004700,-0.130600
0.000400,-0.000100
-0.568800,-0.078900
0.003100,0.199000
0.002400,-0.169500
-0.255400,0.093600
-0.545100,-0.241800
-0.107600,-0.043700
0.763200,-0.010600
0.853200,-0.010800
0.035200,0.275300
0.012500,0.244700
0.006800,0.226400
0.003100,0.184700
0.001700,0.152000
0.001300,0.152000
-0.002300,0.113400
-0.008900,0.191500
-0.007900,0.191500
-0.001600,0.019100
0.000000,0.000000
0.000000,0.000000
-0.004100,-0.032600
-0.002500,0.048300
-0.003000,0.056300
-0.001900,0.031300
-0.001500,0.023000
-0.003700,0.055400
-0.002700,0.038600
-0.001100,0.013600
0.001500,-0.050800
0.001300,-0.016600
0.001300,-0.016600
0.001800,-0.024600
0.001800,-0.024200
0.002300,-0.032200
-0.000000,0.000000
-0.186200,-0.050900
0.620300,-0.019000
0.001600,-0.027500
0.001400,-0.043300
-0.977200,-0.036700
0.001100,-0.034900
-0.099100,-0.034400
0.001700,0.014400
0.000200,-0.020100
-0.000200,0.020800
-0.431900,0.000300
0.004200,0.028800
-0.000200,0.028800
-0.000900,-0.008000
-0.000300,0.032800
0.323100,-0.088700
0.001300,-0.088800
0.000600,-0.081900
-0.001100,0.102800
0.001900,0.094100
-0.636700,0.148300
-0.003100,0.141900
-0.003200,0.116700
-0.003200,0.108000
-0.001100,0.035800
0.001900,-0.070600
0.002200,-0.070600
-0.977600,0.016800
-0.005800,-0.202600
0.974300,-0.203400
0.000500,-0.114700
0.077700,-0.309300
0.006500,-0.359100
0.007600,-0.260800
-0.009000,-0.091200
0.000400,-0.012100
0.007200,-0.193700
-0.002500,0.068500
0.007500,-0.140600
0.003400,-0.078100
0.004500,-0.085900
-0.000700,0.015800
-0.000700,0.015800
-0.002400,0.064300
-0.001100,0.023100
-0.003000,0.095700
-0.001400,0.046300
-0.002800,0.079500
-0.000600,0.045600
0.021700,0.007300
-0.000200,0.021200
-0.000000,0.020600
-0.000100,0.020600
-0.000100,0.019900
-0.000100,0.019900
0.015900,-0.151700
0.017800,0.173800
0.079800,0.073800
-0.000300,0.044800
0.000100,0.044800
-0.932100,0.040300
-0.931500,0.022100
-0.931600,0.005600
0.007700,0.267700
0.004900,0.116200
0.011800,0.205500
0.016600,0.262000
-0.006600,-0.092100
-0.012000,-0.154200
-0.022100,-0.390900
-0.030700,-0.271800
-0.629300,-0.055500
-0.009300,-0.135900
0.002500,0.045900
0.003000,0.045900
0.056600,0.006200
0.031700,0.021200
0.003100,0.052100
-0.005800,-0.103200
-0.020600,-0.258600
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003900,-0.070300
0.003400,-0.077400
0.003000,-0.077400
0.000200,-0.074400
-0.003100,-0.063500
0.550300,-0.072100
-0.593500,-0.180100
0.506100,-0.344600
-0.122100,-0.586000
-0.113500,-0.586000
-0.129200,-0.549300
-0.137200,-0.513000
-0.131100,-0.502800
-0.130200,-0.492800
-0.090700,-0.385100
-0.063900,-0.351200
-0.857200,-0.317800
-0.011200,-0.188300
-0.001100,-0.070800
-0.000200,-0.070100
-0.000100,-0.061600
0.000100,-0.061600
0.000300,-0.044600
0.000400,-0.044600
0.677100,-0.127900
0.001800,-0.059700
0.001500,-0.042900
0.001500,-0.042900
0.002300,-0.050900
0.001900,-0.050900
0.001400,-0.034400
0.000800,-0.017700
0.001200,-0.025800
0.000000,-0.000000
0.000000,-0.000000
-0.000700,0.015900
-0.000300,0.007600
-0.520700,0.054100
0.560500,0.022400
-0.000600,0.019300
-0.000600,0.019300
-0.000500,0.018800
0.000400,-0.014000
0.000400,-0.014000
0.000200,-0.005800
-0.884300,-0.034900
0.001600,-0.050200
0.001900,-0.058500
0.000800,-0.032300
0.001900,-0.058500
-0.879900,-0.031200
0.000600,-0.013200
0.000900,-0.021400
0.011100,-0.192000
0.009200,-0.191900
-0.001600,0.026900
0.050200,-0.594000
0.109600,-0.752600
0.080900,-0.535800
0.084800,-0.541100
0.074800,-0.498400
0.042100,-0.328500
0.003800,-0.090100
0.001300,-0.049500
-0.958300,-0.043100
-0.978100,-0.100900
0.589800,-0.040200
0.000300,-0.074800
-0.000900,-0.071700
0.577000,-0.063000
-0.001800,-0.079600
-0.001900,-0.079600
-0.002300,-0.087400
-0.003800,-0.103100
-0.061400,-0.093500
-0.009800,-0.110400
-0.009400,-0.084300
-0.016200,-0.152300
-0.011500,-0.094500
0.002300,0.018000
-0.004200,-0.031600
-0.002300,-0.016300
0.018000,0.138100
0.014800,0.127900
0.017700,0.168300
-0.018500,0.241500
0.011400,0.218400
0.010400,0.232500
0.047500,0.153700
0.001700,0.153800
-0.002100,0.113600
-0.002300,0.095600
0.214600,0.127000
0.004500,0.191200
-0.011500,0.182500
-0.631200,0.118900
-0.616400,0.061300
-0.010300,0.166000
-0.010400,0.135700
-0.012400,0.116100
-0.008000,0.112100
-0.023400,0.211400
0.028000,-0.007800
-0.689400,-0.336300
0.621400,-0.245700
-0.015200,-0.634800
0.015400,-0.690600
-0.985000,-0.797600
0.004100,-0.942300
0.004600,-0.942300
-0.025700,-0.733400
0.010700,-1.207600
0.045500,-1.517200
-0.864400,-1.514700
-0.706700,-1.388900
-0.344100,-1.391500
0.192300,-0.865400
0.162300,-0.622600
0.058700,-0.217200
0.053500,-0.217300
-0.009700,0.039900
-0.004900,0.020000
-0.012900,0.051900
-0.010800,0.043100
-0.017100,0.067400
-0.010800,0.042600
-0.010800,0.042300
-0.012700,0.049600
-0.010600,0.041200
-0.010500,0.040800
-0.021000,0.081600
-0.018900,0.073100
-0.027300,0.105400
-0.036200,0.162400
